State,Total Title I funding in 2017,Low-income children aged 5-17,Title I funding per low-income child
Vermont,35185000,9803,3589.207385
Wyoming,35432000,11265,3145.317355
North Dakota,36835000,12386,2973.92217
Alaska,42679000,16855,2532.126965
New Hampshire,43015000,17303,2485.985089
Hawaii,53452000,22463,2379.557495
District of Columbia,47177000,20504,2300.868123
Maine,53749000,23871,2251.644255
New York,1201705000,554556,2166.967808
Delaware,50634000,23452,2159.048269
Montana,47679000,22472,2121.707013
South Dakota,46747000,22503,2077.367462
Rhode Island,52978000,25638,2066.385834
Pennsylvania,618405000,300068,2060.882867
Maryland,229558000,112037,2048.948115
Illinois,675047000,333818,2022.20072
Massachusetts,243162000,126029,1929.413072
New Jersey,363036000,189048,1920.337692
Connecticut,129075000,67750,1905.166052
Michigan,503276000,275411,1827.363468
Nebraska,74826000,42235,1771.658577
Iowa,96944000,56921,1703.132412
Wisconsin,208137000,124586,1670.629124
Oregon,151710000,92236,1644.802463
West Virginia,96100000,58443,1644.337217
Minnesota,162901000,99614,1635.322344
Ohio,554604000,339888,1631.725745
California,1824443000,1123318,1624.155404
Kansas,107349000,67873,1581.615665
Kentucky,230230000,146838,1567.918386
Louisiana,314807000,203606,1546.157775
Arkansas,162430000,106559,1524.31986
Arizona,347779000,230386,1509.549191
Missouri,250521000,168099,1490.318205
Nevada,129758000,87307,1486.226763
Colorado,151549000,103485,1464.453786
Washington,227571000,155568,1462.839401
Georgia,537330000,370142,1451.68611
Virginia,257972000,177741,1451.392757
Indiana,264297000,182455,1448.559919
Florida,852319000,589055,1446.926009
Mississippi,199342000,139482,1429.159318
South Carolina,242153000,169622,1427.603731
Tennessee,305247000,213912,1426.974644
Utah,86809000,62631,1386.038863
Alabama,249622000,180594,1382.227538
North Carolina,448755000,326389,1374.908468
New Mexico,119120000,86767,1372.872175
Idaho,58319000,42957,1357.613427
Texas,1415074000,1047625,1350.74478
Oklahoma,168312000,136937,1229.11996